lambda	r0	r1	x0	x3	re_lmb_off	im_lmb_off	abs_lmb_off	re_lmb_on	im_lmb_on	abs_lmb_on
1.0000000000000000e-03	4.8240399679379614e+01	4.9307126835422352e+01	1.3852614378973238e-01	1.4115694484141925e-01	-1.7311407825515762e-03	1.3415743396837577e-02	1.3526973767210623e-02	1.9532619374164051e-06	-1.9766086493354723e-06	2.7788871781321906e-06
1.2115276586299999e-03	5.8444578474934175e+01	5.9736947928691677e+01	1.6305052994132863e-01	1.6605730457393258e-01	-1.8130339246304659e-03	1.4286283919737710e-02	1.4400868037976642e-02	4.4637600999862967e-06	-5.9991094168437246e-06	7.4775977442954718e-06
1.4677992676200000e-03	7.0807223319089474e+01	7.2372964657479372e+01	1.9095427183239624e-01	1.9435612014435674e-01	-1.8695592721886026e-03	1.4909841708520132e-02	1.5026597473991007e-02	9.3208740059611364e-06	-1.6976155848822808e-05	1.9366686852389669e-05
1.7782794100400000e-03	8.5784909481940986e+01	8.7681848419662316e+01	2.2236460621836912e-01	2.2616959957523589e-01	-1.9158268638142823e-03	1.5417950373398668e-02	1.5536524266665842e-02	1.6914166196465181e-05	-4.4331803259426848e-05	4.7448896703234042e-05
2.1544346900299999e-03	1.0393079053016751e+02	1.0622898451994304e+02	2.5729850995948139e-01	2.6150025864224846e-01	-1.9633184294301567e-03	1.5920307994381044e-02	1.6040911005653424e-02	2.4087703805404108e-05	-1.0555491126506910e-04	1.0826844769734851e-04
2.6101572156800000e-03	1.2591502731041984e+02	1.2869935289392660e+02	2.9563415056179532e-01	3.0020888071125867e-01	-2.0192359649076805e-03	1.6500340303900275e-02	1.6623433581137576e-02	1.7884801352116033e-05	-2.2653207706959964e-04	2.2723698656000452e-04
3.1622776601700001e-03	1.5254953822377416e+02	1.5592282567882481e+02	3.3708914790305744e-01	3.4199390093415671e-01	-2.0870588765454601e-03	1.7215806005642546e-02	1.7341850857912632e-02	-3.3284468265140397e-05	-4.3365969169575230e-04	4.3493514922267215e-04
3.8311868495599999e-03	1.8481798486915761e+02	1.8890481592145707e+02	3.8121107433552859e-01	3.8638362677082894e-01	-2.1688435997274397e-03	1.8102549886826368e-02	1.8232010173459098e-02	-1.8666467132935939e-04	-7.3222312525468732e-04	7.5564171713864451e-04
4.6415888336099999e-03	2.2391210048069183e+02	2.2886340933668836e+02	4.2738486145911009e-01	4.3274578141780251e-01	-2.2685699013547497e-03	1.9184669927727344e-02	1.9318332475479830e-02	-5.2418920290123389e-04	-1.0702251183968257e-03	1.1917030353597873e-03
5.6234132518999998e-03	2.7127570283397580e+02	2.7727435045942815e+02	4.7485951439600071e-01	4.8031642188633056e-01	-2.3941628018288755e-03	2.0492277254643379e-02	2.0631661169252354e-02	-1.1415992433316971e-03	-1.2912197961834054e-03	1.7235130966811417e-03
6.8129206905800004e-03	3.2865801709749417e+02	3.3592554461010133e+02	5.2279301012481150e-01	5.2824665946713001e-01	-2.5570205807331123e-03	2.2079812413525413e-02	2.2227381097798354e-02	-2.1337033152582061e-03	-1.0732483402502407e-03	2.3884203644655511e-03
8.2540418526799997e-03	3.9817827794361017e+02	4.0698308853497724e+02	5.7031032119244751e-01	5.7566170271248596e-01	-2.7707010340468582e-03	2.4036244605874786e-02	2.4195409460753357e-02	-3.5850033269721371e-03	1.7020533780727221e-04	3.5890414752994121e-03
1.0000000000000000e-02	4.8240399679379613e+02	4.9307126835422349e+02	6.1656637590123986e-01	6.2172378199684608e-01	-3.0506359804141291e-03	2.6486603974327647e-02	2.6661706059025299e-02	-5.5704586405026487e-03	3.4787701740029357e-03	6.5674844034137635e-03
1.2115276586290000e-02	5.8444578474885941e+02	5.9736947928642371e+02	6.6080453412394780e-01	6.6568954380022372e-01	-3.4149429064089937e-03	2.9590519930698712e-02	2.9786921707741314e-02	-8.1681424605436342e-03	1.0700838508357078e-02	1.3462039074288617e-02
1.4677992676219999e-02	7.0807223319185948e+02	7.2372964657577984e+02	7.0240227820767376e-01	7.0695388083811539e-01	-3.8855609510124833e-03	3.3542458760575301e-02	3.3766760632446338e-02	-1.1495969945954644e-02	2.5120029144051599e-02	2.7625589390930544e-02
1.7782794100389999e-02	8.5784909481892737e+02	8.7681848419613004e+02	7.4089887763230833e-01	7.4507538415754382e-01	-4.4892761008940157e-03	3.8574961211362967e-02	3.8835309093249351e-02	-1.5815824798491061e-02	5.2477609045669678e-02	5.4809121186228819e-02
2.1544346900320002e-02	1.0393079053026402e+03	1.0622898452004167e+03	7.7600371146005465e-01	7.7978254696902283e-01	-5.2586031573993762e-03	4.4964204706740903e-02	4.5270659505652351e-02	-2.1802847814420871e-02	1.0249854238580565e-01	1.0479177145193030e-01
2.6101572156830000e-02	1.2591502731056457e+03	1.2869935289407454e+03	8.0758750123396705e-01	8.1096331237075803e-01	-6.2326066547273009e-03	5.3036864031222548e-02	5.3401819556817900e-02	-3.1145120700515515e-02	1.9090130429693095e-01	1.9342524790140275e-01
3.1622776601680003e-02	1.5254953822367770e+03	1.5592282567872621e+03	8.3566104690310949e-01	8.3864272775285875e-01	-7.4577431978356083e-03	6.3177755878003838e-02	6.3616403320099074e-02	-4.7671298700423463e-02	3.4155876735714991e-01	3.4486945976459071e-01
3.8311868495570001e-02	1.8481798486901289e+03	1.8890481592130916e+03	8.6034688846796159e-01	8.6295413431751877e-01	-8.9888306633235469e-03	7.5838594550158789e-02	7.6369440878124015e-02	-7.9098136210920239e-02	5.8800776942750410e-01	5.9330401318308146e-01
4.6415888336130001e-02	2.2391210048083653e+03	2.2886340933683628e+03	8.8184887627179398e-01	8.8410876578943753e-01	-1.0890306078429678e-02	9.1549020696238187e-02	9.2194478993712692e-02	-1.3914791977722021e-01	9.7316586375239345e-01	9.8306354929438300e-01
5.6234132519029999e-02	2.7127570283412051e+03	2.7727435045957609e+03	9.0042343369283351e-01	9.0236737965557368e-01	-1.3237983391236535e-02	1.1093161581555619e-01	1.1171869848739203e-01	-2.4928998214604978e-01	1.5464388058574534e+00	1.5664030373630551e+00
6.8129206905800002e-02	3.2865801709749417e+03	3.3592554461010131e+03	9.1635486014566048e-01	9.1801610890006213e-01	-1.6121527451163228e-02	1.3472269075964516e-01	1.3568384963906938e-01	-4.3911183841302853e-01	2.3587012476665703e+00	2.3992271218828587e+00
8.2540418526799997e-02	3.9817827794361015e+03	4.0698308853497724e+03	9.2993572643600819e-01	9.3134745763142102e-01	-1.9647812961050566e-02	1.6380024260905940e-01	1.6497441023667622e-01	-7.4479550680402651e-01	3.4573012034967663e+00	3.5366158907429650e+00
1.0000000000000001e-01	4.8240399679379616e+03	4.9307126835422350e+03	9.4145244731166156e-01	9.4264643880289745e-01	-2.3945263506680543e-02	1.9921986490465651e-01	2.0065375704689398e-01	-1.2062848056225293e+00	4.8838730921169144e+00	5.0306400598909295e+00
1.2115276586286000e-01	5.8444578474866648e+03	5.9736947928622649e+03	9.5117551337377759e-01	9.5218128871342012e-01	-2.9169211265543567e-02	2.4225895322992089e-01	2.4400869514406839e-01	-1.8646513033995737e+00	6.6765228666164935e+00	6.9320186144962603e+00
1.4677992676220999e-01	7.0807223319190780e+03	7.2372964657582916e+03	9.5935357184450587e-01	9.6019793020443189e-01	-3.5508317653982657e-02	2.9446955584908147e-01	2.9660269712963072e-01	-2.7611037432393584e+00	8.8757429215782420e+00	9.2952948469038166e+00
1.7782794100388999e-01	8.5784909481887917e+03	8.7681848419608068e+03	9.6621047408273819e-01	9.6691730426448486e-01	-4.3192154410209953e-02	3.5774071477295999e-01	3.6033870345671132e-01	-3.9381554472937963e+00	1.1531953974690026e+01	1.2185853716560809e+01
2.1544346900319000e-01	1.0393079053025918e+04	1.0622898452003674e+04	9.7194447001538753e-01	9.7253476251580750e-01	-5.2500142958477936e-02	4.3437195344245400e-01	4.3753315182746327e-01	-5.4424939390518183e+00	1.4712674147760948e+01	1.5687049463006392e+01
2.5000000000000000e-01	1.2060099919844903e+04	1.2326781708855588e+04	9.7572835155496340e-01	9.7624097676531463e-01	-6.1048014570542972e-02	5.0473687781390875e-01	5.0841535766372936e-01	-6.8683714790394657e+00	1.7596237337673813e+01	1.8889205785787521e+01
2.6101572156824998e-01	1.2591502731054044e+04	1.2869935289404986e+04	9.7672885727454128e-01	9.7722084479478455e-01	-6.3772160062705377e-02	5.2716046893112500e-01	5.3100381204163394e-01	-7.3287108076817855e+00	1.8508409203811823e+01	1.9906562067780012e+01
3.1622776601684000e-01	1.5254953822369698e+04	1.5592282567874592e+04	9.8071353965907837e-01	9.8112291304167765e-01	-7.7421222507611451e-02	6.3950544039687252e-01	6.4417486289964077e-01	-9.6632359498331191e+00	2.3037443851930078e+01	2.4982032508444508e+01
3.8311868495572998e-01	1.8481798486902735e+04	1.8890481592132393e+04	9.8402708876845835e-01	9.8436725005781034e-01	-9.3948760623397923e-02	7.7553365650117834e-01	7.8120344468567227e-01	-1.2528223510663464e+01	2.8450273444973202e+01	3.1086563712107008e+01
4.6415888336127997e-01	2.2391210048082688e+04	2.2886340933682641e+04	9.8677902150813901e-01	9.8706134784880217e-01	-1.1396308811043547e-01	9.4025146217068789e-01	9.4713272436643403e-01	-1.6025469054208155e+01	3.4934491817424195e+01	3.8434806841573447e+01
5.0000000000000000e-01	2.4120199839689805e+04	2.4653563417711175e+04	9.8771508824786869e-01	9.8797766896141692e-01	-1.2281229876611829e-01	1.0130785836025806e+00	1.0204955057629745e+00	-1.7577199174314885e+01	3.7783999192721268e+01	4.1672395249242598e+01
5.6234132519034996e-01	2.7127570283414465e+04	2.7727435045960072e+04	9.8906210076576084e-01	9.8929620211381986e-01	-1.3820178566801339e-01	1.1397289272920119e+00	1.1480774195445305e+00	-2.0280610968349382e+01	4.2720802173294715e+01	4.7290275105769005e+01
6.8129206905796003e-01	3.2865801709747488e+04	3.3592554461008156e+04	9.9095453797180999e-01	9.9114849840117136e-01	-1.6755884940510329e-01	1.3813232369111867e+00	1.3914488322769043e+00	-2.5447922343571808e+01	5.2090649352903597e+01	5.7974412473190419e+01
8.2540418526801995e-01	3.9817827794361976e+04	4.0698308853498711e+04	9.9252202782419441e-01	9.9268262500602145e-01	-2.0311762094099226e-01	1.6739496678232371e+00	1.6862278192291380e+00	-3.1715998842192516e+01	6.3385872714033773e+01	7.0877876959440940e+01
1.0000000000000000e+00	4.8240399679379610e+04	4.9307126835422350e+04	9.9381958117400004e-01	9.9395248184811658e-01	-2.4619072219930271e-01	2.0284102128865307e+00	2.0432958335589575e+00	-3.9314640470907044e+01	7.7020760957166218e+01	8.6474496666807042e+01
1.2115276586285899e+00	5.8444578474866161e+04	5.9736947928622154e+04	9.9489314575423582e-01	9.9500307709917779e-01	-2.9836847182113962e-01	2.4577920046045176e+00	2.4758362794972482e+00	-4.8523232997656159e+01	9.3496936203807010e+01	1.0533841284186688e+02
1.4677992676220699e+00	7.0807223319189332e+04	7.2372964657581440e+04	9.9578101933957752e-01	9.9587191741229308e-01	-3.6157757071215829e-01	2.9779502460211669e+00	2.9998209958961941e+00	-5.9680964749638811e+01	1.1342158544132528e+02	1.2816502486041767e+02
1.7782794100389201e+00	8.5784909481888884e+04	8.7681848419609058e+04	9.9651506864785500e-01	9.9659020575961055e-01	-4.3815222235134343e-01	3.6080934689967505e+00	3.6345998199208158e+00	-7.3199266954744672e+01	1.3752968129260421e+02	1.5579648878956567e+02
2.0000000000000000e+00	9.6480799358759221e+04	9.8614253670844701e+04	9.9690021159168229e-01	9.9696707007466989e-01	-4.9283377021196983e-01	4.0580743883942496e+00	4.0878910047606096e+00	-8.2852940731321183e+01	1.5473287015710463e+02	1.7551886193478813e+02
2.1544346900318798e+00	1.0393079053025821e+05	1.0622898452003574e+05	9.9712177180587624e-01	9.9718386501709699e-01	-5.3092031220587044e-01	4.3714927151340106e+00	4.4036149850301971e+00	-8.9576939663923184e+01	1.6671098677329988e+02	1.8925269147486782e+02
2.6101572156825399e+00	1.2591502731054237e+05	1.2869935289405184e+05	9.9762310394893094e-01	9.9767440693872012e-01	-6.4330782709018097e-01	5.2963408143200530e+00	5.3352667207767501e+00	-1.0941852062274012e+02	2.0204282167143251e+02	2.2976882826924822e+02
3.1622776601683800e+00	1.5254953822369603e+05	1.5592282567874494e+05	9.9803728553264615e-01	9.9807966602385678e-01	-7.7946536895082175e-01	6.4167934794526795e+00	6.4639620063348193e+00	-1.3345657280004076e+02	2.4482978647758057e+02	2.7884096035229521e+02
3.8311868495572901e+00	1.8481798486902687e+05	1.8890481592132346e+05	9.9837941191823010e-01	9.9841441668099640e-01	-9.4442143417687707e-01	7.7742306560907748e+00	7.8313851992756884e+00	-1.6257871078227032e+02	2.9665190101817649e+02	3.3828122557618104e+02
4.0000000000000000e+00	1.9296159871751844e+05	1.9722850734168940e+05	9.9844769989490512e-01	9.9848123187869253e-01	-9.8605123561638175e-01	8.1168056257765286e+00	8.1764803311631642e+00	-1.6992820570025881e+02	3.0972852778396981e+02	3.5328084580930062e+02
4.6415888336127802e+00	2.2391210048082593e+05	2.2886340933682545e+05	9.9866198122511385e-01	9.9869089048348436e-01	-1.1442681180206640e+00	9.4187847000951646e+00	9.4880374552731030e+00	-1.9786036157924184e+02	3.5942292885310644e+02	4.1028473584769580e+02
5.6234132519034903e+00	2.7127570283414418e+05	2.7727435045960027e+05	9.9889533563986310e-01	9.9891920849493743e-01	-1.3863861020616475e+00	1.1411191817674528e+01	1.1495101788316264e+01	-2.4060446762245991e+02	4.3546103684146522e+02	4.9751062747134483e+02
6.8129206905796096e+00	3.2865801709747530e+05	3.3592554461008206e+05	9.9908802952228670e-01	9.9910774179770334e-01	-1.6797172326052303e+00	1.3825035134073580e+01	1.3926702640606637e+01	-2.9238959664795033e+02	5.2757439639508470e+02	6.0318025494837696e+02
8.2540418526801798e+00	3.9817827794361883e+05	4.0698308853498608e+05	9.9924713587513936e-01	9.9926341159639331e-01	-2.0350947574682827e+00	1.6749462236748755e+01	1.6872643417441960e+01	-3.5512823397415229e+02	6.3916488570854722e+02	7.3119615267616155e+02
1.0000000000000000e+01	4.8240399679379608e+05	4.9307126835422352e+05	9.9937850110628323e-01	9.9939193864895959e-01	-2.4656434157274889e+00	2.0292477542962782e+01	2.0441723075249040e+01	-4.3113740916896847e+02	7.7435372154030188e+02	8.8628615675088031e+02
1.2115276586285880e+01	5.8444578474866063e+05	5.9736947928622062e+05	9.9948695654107378e-01	9.9949805032648098e-01	-2.9872641578336809e+00	2.4584931096256827e+01	2.4765754261810272e+01	-5.2322426479431886e+02	9.3813365939311848e+02	1.0741780085981463e+03
1.4677992676220679e+01	7.0807223319189227e+05	7.2372964657581341e+05	9.9957649384611225e-01	9.9958565232595264e-01	-3.6192213957425570e+00	2.9785351089155984e+01	3.0004431389641201e+01	-6.3478972697028962e+02	1.1365533824853164e+03	1.3018108882267918e+03
1.7782794100389228e+01	8.5784909481889021e+05	8.7681848419609200e+05	9.9965041039859948e-01	9.9965797095215136e-01	-4.3848544729015675e+00	3.6085798599385988e+01	3.6351228442845951e+01	-7.6995410625077147e+02	1.3769408890023251e+03	1.5775916891068289e+03
2.1544346900318821e+01	1.0393079053025831e+06	1.0622898452003584e+06	9.9971142966644455e-01	9.9971767093262276e-01	-5.3124396292301936e+00	4.3718960759483842e+01	4.4040544327965605e+01	-9.3370926708862203e+02	1.6681741272833285e+03	1.9117054988634275e+03
2.6101572156825330e+01	1.2591502731054204e+06	1.2869935289405151e+06	9.9976180083770971e-01	9.9976695291846385e-01	-6.4362342925403722e+00	5.2966744303077235e+01	5.3356359639091174e+01	-1.1321029860083233e+03	2.0210088741870334e+03	2.3164917527312077e+03
3.1622776601683789e+01	1.5254953822369596e+06	1.5592282567874487e+06	9.9980338123742374e-01	9.9980763413635221e-01	-7.7977422729774144e+00	6.4170686937208131e+01	6.4642724621947622e+01	-1.3724623063710951e+03	2.4484759649056482e+03	2.8068999506804853e+03
3.8311868495572853e+01	1.8481798486902665e+06	1.8890481592132323e+06	9.9983770447905473e-01	9.9984121507804846e-01	-9.4472465671916410e+00	7.7744570892884866e+01	7.8316465516646716e+01	-1.6636641394024318e+03	2.9663625455993983e+03	3.4010417699094164e+03
4.6415888336127729e+01	2.2391210048082559e+06	2.2886340933682509e+06	9.9986603680176445e-01	9.9986893462731441e-01	-1.1445666415149082e+01	9.4189704773525577e+01	9.4882578827784712e+01	-2.0164631046222598e+03	3.5937951214625091e+03	4.1208599621135600e+03
5.6234132519034908e+01	2.7127570283414419e+06	2.7727435045960029e+06	9.9988942362918798e-01	9.9989181561720808e-01	-1.3866807140675215e+01	1.1411343764687183e+02	1.1495288161617866e+02	-2.4438887173547118e+03	4.3539459334173835e+03	4.9929387392532099e+03
6.8129206905796082e+01	3.2865801709747524e+06	3.3592554461008199e+06	9.9990872803862785e-01	9.9991070247096292e-01	-1.6800085940844543e+01	1.3825158975304080e+02	1.3926860721951255e+02	-2.9617265934941775e+03	5.2748887525336368e+03	6.0494855786435664e+03
8.2540418526801730e+01	3.9817827794361850e+06	4.0698308853498576e+06	9.9992466254053047e-01	9.9992629229662378e-01	-2.0353834197771612e+01	1.6749562745175226e+02	1.6872778011343172e+02	-3.5891014399498181e+03	6.3906356943564142e+03	7.3295207022173108e+03
1.0000000000000000e+02	4.8240399679379612e+06	4.9307126835422348e+06	9.9993781532769377e-01	9.9993916057020071e-01	-2.4659298393833904e+01	2.0292558703231097e+02	2.0441838192707658e+02	-4.3491833664228971e+03	7.7423933507845741e+03	8.8803181673317758e+03
