probe,graph,returncode,timed_out,result_emitted,neval,duration_s,max_hwm_gib,avg_total_time_s,avg_integrand_time_s,avg_evaluator_time_s,nan_or_unstable_percent,result_re,error_re,rel_error_re_percent,max_weight_impact_re,result_im,error_im,rel_error_im_percent,max_weight_impact_im,max_weight_re_plus,max_weight_re_minus,max_weight_im_plus,max_weight_im_minus
GL001_imag_force,GL001,0,False,True,300000,47.991,2.809,4.22e-05,2.0081e-05,1.8109e-05,0.0006666666666666666,0.08197642559677565,0.0996031642334118,121.50220445489815,0.883250528468591,0.002730303306827262,0.053539220745812764,1960.925755462231,10.962305360763647,21721.716369095466,-7307.144505313703,8864.003925295552,-8979.125573082962
GL001_real_force,GL001,0,False,True,300000,48.207,2.722,4.3469e-05,2.055e-05,1.8471e-05,0.001,0.29970448137369476,0.27021903742710707,90.16182747370301,0.6456333224058765,-0.14605909634983086,0.13366020000201984,91.5110413129532,0.7182726447296346,58049.7600147686,-25407.92500145843,8390.65525087129,-31473.076026604063
GL001_real_long,GL001,0,False,True,3000000,68.175,2.764,3.8997e-05,1.7927e-05,1.6275e-05,0.0006000000000000001,-291.9304218930943,524.3767321589202,179.6238736471762,1.399323702045487,-709.262475306366,864.3622067622747,121.86774809832048,0.9263402665133602,679827840.3136711,-1225515476.1094368,678418728.8318864,-1971055171.2096741
GL047_real_long,GL047,0,False,True,1000000,58.0,4.56,3.4991e-05,1.6058e-05,1.4337e-05,0.0056,21.491270088800245,30.719644116922005,142.9401054008946,1.3744713804213544,6.031288838978129,6.039496836858434,100.1360902801945,0.6713942248643157,29539135.665961433,-8377808.825347634,4049372.494978519,-3291385.1879471433
GL105_real_10M,GL105,0,False,True,10000000,227.003,7.863,6.581e-05,2.7384e-05,2.5286e-05,0.80097,-5.308994576133591e-07,1.1930876441616136e-06,224.72949012325225,0.8178035645346527,6.838716228680169e-07,1.3693883340659494e-06,200.2405551385531,1.154000026988481,3.793690250881764,-4.341714688457189,7.891878712463478,-2.5391863350431323
GL105_real_long,GL105,0,False,True,1000000,107.788,8.147,6.1003e-05,2.7452e-05,2.5316e-05,0.2345,-4.231916456223123e-06,3.437368745809566e-06,81.22487249848332,0.5638835750538809,-3.879776166439482e-06,4.394515384460201e-06,113.26724006589023,0.9168478598141406,2.3863081806644453,-1.2610625606391608,0.8257782319730496,-3.55716447475795
imag,GL026,0,False,True,100000,18.064,1.669,3.441e-05,1.5681e-05,1.3594e-05,0.009000000000000001,-14.250115962354267,15.91751521297633,111.70095215384192,1.1087927353460612,13.579856461000196,14.320369245485184,105.45302365022529,1.0436425166748524,140352.52677846036,-1580042.5056897355,1417251.55730415,-191161.88559755203
imag_adapt,GL026,0,False,True,10000,17.398,1.663,3.4003e-05,1.5656e-05,1.3536e-05,0.02,-4.27595451555717,3.8078337362679147,89.05225072937293,0.8820357409907381,4.016386294118625,3.6121850967519347,89.936197174097,0.8943815402006292,1497.3997579973372,-37715.44709572161,35921.81759774513,-832.9814599844995
imag_force,GL026,0,False,True,300000,33.615,1.685,3.1914e-05,1.4759e-05,1.2878e-05,0.005333333333333333,-7.6098412091950385,30.355516211907364,398.8981553942088,2.977497617085508,-50.37009879867118,32.42571652245992,64.374931349778,0.3345271735813886,3178144.753973007,-6797485.220033199,4621237.318619275,-5055050.03524043
real,GL026,0,False,True,100000,19.345,1.674,3.2698e-05,1.4956e-05,1.3039e-05,0.009000000000000001,-14.250115962354267,15.91751521297633,111.70095215384192,1.1087927353460612,13.579856461000196,14.320369245485184,105.45302365022529,1.0436425166748524,140352.52677846036,-1580042.5056897355,1417251.55730415,-191161.88559755203
real_adapt,GL026,0,False,True,10000,16.812,1.673,2.6364e-05,1.1991e-05,1.0395e-05,0.02,-4.27595451555717,3.8078337362679147,89.05225072937293,0.8820357409907381,4.016386294118625,3.6121850967519347,89.936197174097,0.8943815402006292,1497.3997579973372,-37715.44709572161,35921.81759774513,-832.9814599844995
real_force,GL026,0,False,True,300000,31.654,1.677,2.9354e-05,1.36e-05,1.1838e-05,0.005666666666666666,-7673.016932145513,4559.0996403075715,59.41730196381524,0.5288615241182326,-12438.427365775582,8458.959454854348,68.00666359261166,0.5500246070879609,6374119.1184554435,-1217389028.7958443,393611483.73039806,-2052432337.3958564
