idx	x2	r	rstar	delta	eta	drstar_dx2	ddelta_dx2	h	damp_plus	damp_minus	raw_re	raw_im	returncode
0	0.94411754999999997	1061.8603586938352	1061.8604891455534	-0.00013045171817793744	2.3502739655984088			0.0010626435192097755	0.99999999999998301	0.010996368032728654	-0.00026409012033674553	0.0044771286801507573	0
1	0.94411769999999995	1061.8603586938352	1061.8604550267651	-9.6332929842901649e-05	2.3502740483701783	-227.45849919295475	227.45849919295475	0.0010626435533537537	0.99999999999999067	0.010996369626295624	-0.00026409297242955263	0.0044771257169258956	0
2	0.94411779714545119	1061.8603586938352	1061.86043293022	-7.4236384762116359e-05	2.3502741019761331	-227.45826867577162	227.45826867577162	0.0010626435754666093	0.99999999999999445	0.010996370658346591	-0.00026409481954665161	0.0044771237978338202	0
3	0.94411789999999995	1061.8603586938352	1061.8604095351113	-5.0841276106439182e-05	2.3502741587323892	-227.45808951574963	227.45808951574963	0.0010626435988789836	0.99999999999999745	0.010996371751048917	-0.00026409677521456302	0.0044771217659595082	0
4	0.94411800000000001	1061.8603586938352	1061.8603867893119	-2.8095476636735839e-05	2.3502742139134312	-227.45790374102253	227.45790374102253	0.0010626436216415668	0.99999999999999922	0.010996372813424421	-0.00026409867660475431	0.0044771197904763553	0
5	0.94411809999999996	1061.8603586938352	1061.8603640435306	-5.3496953569265315e-06	2.3502742690944309	-227.4577392600346	227.4577392600346	0.0010626436444041289	1	0.010996373875799164	-0.000264100577993403	0.0044771178149932301	0
6	0.94411818000000003	1061.8603586938352	1061.8603458469188	1.2846916433773004e-05	2.3502743132392006	-227.45760188925809	227.45760188925809	0.0010626436626141632	0.99999999999999989	0.010996374725698409	-0.00026410209910321126	0.0044771162346067487	0
7	0.94411822879667251	1061.8603586938352	1061.8603347477483	2.3946086912474129e-05	2.3502743401656607	-227.45748322598726	227.45748322598726	0.00106264367372152	0.99999999999999944	0.01099637524410136	-0.00026410302691644088	0.0044771152706367381	0
8	0.94411827999999998	1061.8603586938352	1061.8603231011705	3.5592664744399372e-05	2.3502743684201244	-227.45737651365192	227.45737651365192	0.0010626436853766871	0.99999999999999878	0.010996375788071781	-0.00026410400048908325	0.0044771142591236721	0
9	0.94411835	1061.8603586938352	1061.8603071791574	5.1514677807062981e-05	2.3502744070467458	-227.45726444206184	227.45726444206184	0.0010626437013104412	0.99999999999999734	0.010996376531732688	-0.00026410533145827575	0.0044771128762855347	0
10	0.94411842000000001	1061.8603586938352	1061.8602912571534	6.7436681774779572e-05	2.3502744456733469	-227.45711662781642	227.45711662781642	0.0010626437172441849	0.99999999999999545	0.010996377275393222	-0.00026410666242671245	0.0044771114934474103	0
11	0.94411851158371429	1061.8603586938352	1061.8602704257917	8.8268043555217446e-05	2.3502744962099955	-227.4569725054736	227.4569725054736	0.001062643738090904	0.99999999999999223	0.010996378248352569	-0.00026410840378318596	0.0044771096842266917	0
12	0.94411860000000003	1061.8603586938352	1061.8602503148984	0.00010837893682946742	2.350274544998797	-227.45679761287892	227.45679761287892	0.001062643758216621	0.99999999999998823	0.010996379187661451	-0.00026411008491350723	0.0044771079375780084	0
13	0.94411869999999998	1061.8603586938352	1061.8602275692267	0.00013112460851516516	2.3502746001795436	-227.45657959249507	227.45657959249507	0.0010626437809790558	0.99999999999998279	0.010996380250031622	-0.0002641119862929003	0.0044771059620950454	0
14	0.94411884999999995	1061.8603586938352	1061.8601934507535	0.00016524308171028679	2.3502746829505838	-227.4563067158677	227.4563067158677	0.0010626438151226682	0.99999999999997269	0.010996381843585453	-0.00026411483835909745	0.0044771029988706522	0
15	0.94411904877480457	1061.8603586938352	1061.8601482381978	0.00021045563744337414	2.3502747926357537			0.0010626438603685273	0.9999999999999557	0.010996383955305155	-0.00026411861781309054	0.0044770990721084147	0
